date,temperature,humidity,luminosity
2022-11-17 15:14:25.320,25.0,34.3,1555
2022-11-17 15:14:20.276,25.0,34.4,1555
2022-11-17 15:14:15.234,25.0,34.5,1555
2022-11-17 15:14:10.190,25.0,34.6,1554
2022-11-17 15:14:05.146,25.0,34.7,1554
2022-11-17 15:14:00.102,25.0,34.7,1554
2022-11-17 15:13:55.058,24.9,34.4,1555
2022-11-17 15:13:50.015,25.0,34.1,1555
2022-11-17 15:13:44.972,25.0,34.1,1554
2022-11-17 15:13:39.929,25.0,34.0,1552
2022-11-17 15:13:34.887,25.0,34.1,1554
2022-11-17 15:13:29.844,25.0,34.2,1553
2022-11-17 15:13:24.801,25.0,34.2,1548
2022-11-17 15:13:19.757,25.0,34.5,1553
2022-11-17 15:13:14.713,25.0,34.7,1553
2022-11-17 15:13:09.669,25.0,34.7,1553
2022-11-17 15:13:04.626,25.0,35.0,1549
2022-11-17 15:12:59.582,25.0,34.8,1551
2022-11-17 15:12:54.538,25.0,34.9,1552
2022-11-17 15:12:49.495,25.0,35.0,1552
2022-11-17 15:12:44.451,25.0,35.3,1552
2022-11-17 15:12:39.408,25.0,35.5,1552
2022-11-17 15:12:34.365,24.9,35.7,1549
2022-11-17 15:12:29.322,25.0,35.6,1554
2022-11-17 15:12:24.278,25.0,35.5,1554
2022-11-17 15:12:19.236,25.0,35.2,1554
2022-11-17 15:12:14.193,25.0,35.5,1550
2022-11-17 15:12:09.150,25.0,35.7,1550
2022-11-17 15:12:04.106,25.0,35.7,1555
2022-11-17 15:11:59.062,24.9,35.5,1551
2022-11-17 15:11:54.018,24.9,35.4,1550
2022-11-17 15:11:48.975,24.9,35.1,1554
2022-11-17 15:11:43.931,24.9,35.0,1552
2022-11-17 15:11:38.889,25.0,35.0,1554
2022-11-17 15:11:33.846,25.0,34.8,1552
2022-11-17 15:11:28.802,25.0,34.8,1550
2022-11-17 15:11:23.758,24.9,34.6,1549
2022-11-17 15:11:18.715,24.9,34.3,1549
2022-11-17 15:11:13.671,25.0,34.2,1552
2022-11-17 15:11:08.627,25.0,34.1,1552
2022-11-17 15:11:03.584,25.0,33.6,1555
2022-11-17 15:10:58.541,24.9,33.4,1555
2022-11-17 15:10:53.499,25.0,33.4,1549
2022-11-17 15:10:48.455,25.0,33.6,1549
2022-11-17 15:10:43.412,25.0,33.7,1550
2022-11-17 15:10:38.369,25.0,33.7,1553
2022-11-17 15:10:33.326,25.0,33.6,1551
2022-11-17 15:10:28.283,25.0,33.8,1554
2022-11-17 15:10:23.239,25.0,34.0,1553
2022-11-17 15:10:18.195,24.9,34.1,1554
2022-11-17 15:10:13.152,25.0,34.2,1552
2022-11-17 15:10:08.109,25.0,34.2,1551
2022-11-17 15:10:03.066,25.0,34.3,1549
2022-11-17 15:09:58.022,24.9,34.3,1550
2022-11-17 15:09:52.979,25.0,34.6,1549
2022-11-17 15:09:47.936,25.0,34.9,1552
2022-11-17 15:09:42.892,25.0,35.1,1552
2022-11-17 15:09:37.849,25.0,35.3,1551
2022-11-17 15:09:32.807,25.0,35.1,1552
2022-11-17 15:09:27.764,25.0,35.0,1546
2022-11-17 15:09:22.721,25.0,35.0,1559
2022-11-17 15:09:17.678,25.0,34.9,1559
2022-11-17 15:09:12.635,25.0,34.9,1562
2022-11-17 15:09:07.591,25.0,34.8,1559
2022-11-17 15:09:02.547,25.0,34.8,1555
2022-11-17 15:08:57.506,25.0,34.8,1553
2022-11-17 15:08:52.461,25.0,34.7,1555
2022-11-17 15:08:47.418,25.0,34.8,1562
2022-11-17 15:08:42.374,25.0,35.0,1562
2022-11-17 15:08:37.330,25.0,35.1,1560
2022-11-17 15:08:32.286,25.0,35.2,1558
2022-11-17 15:08:27.242,25.0,35.3,1559
2022-11-17 15:08:22.198,25.0,35.3,1562
2022-11-17 15:08:17.154,25.0,35.3,1561
2022-11-17 15:08:12.110,25.0,35.4,1559
2022-11-17 15:08:07.067,25.0,35.5,1557
2022-11-17 15:08:02.023,25.0,35.6,1560
2022-11-17 15:07:56.979,25.0,35.7,1560
2022-11-17 15:07:51.936,25.0,35.9,1560
2022-11-17 15:07:46.892,25.0,35.6,1553
2022-11-17 15:07:41.849,25.0,35.8,1549
2022-11-17 15:07:36.807,25.0,36.0,1557
2022-11-17 15:07:31.764,25.0,35.7,1558
2022-11-17 15:07:26.721,25.0,35.4,1551
2022-11-17 15:07:21.677,25.0,35.8,1556
2022-11-17 15:07:16.635,25.0,36.1,1559
2022-11-17 15:07:11.591,24.9,36.2,1562
2022-11-17 15:07:06.548,24.9,36.0,1562
2022-11-17 15:07:01.505,25.0,35.5,1562
